,habitat_mgroves,habitat_coral,habitat_seagrass,habitat_h0to60,habitat_s0to60,habitat_s60to200,habitat_h60to200,habitat_s200to2000,habitat_h200to2000,habitat_s2000p,habitat_h2000p,habitat_seamounts,habitat_pelagic,habitat_pdeep
threat_fert,3.3,1.2,3.8,0.8,1.2,3,2.4,0.3,1.4,1.3,2.3,0.8,1.7,1.4
threat_pest,2.8,3.4,1.2,1.9,3.3,1,3.9,2.7,1,0.6,2.6,2.2,3.2,3.8
threat_impv,3.4,2.7,1.6,3,3.7,3.6,4,3.6,2.9,1.1,3.5,3.4,0.4,2.8
threat_pop,2.5,1.1,0.8,2.6,3.1,2.4,0.9,0.7,0.6,1.5,2.6,2.4,2.2,2.2
threat_fish3,2,0.4,3.4,2.9,3.4,0,3,3.2,2.8,1.7,0.8,0.4,2.8,1.9
threat_fish5,2.6,1.8,3,0.6,0.7,0.4,3.3,3.1,2.8,1.4,1.8,0.6,1.3,0.4
threat_fish4,2.1,3.7,3,0,0.2,3.4,2.1,3,3.9,0.4,2.6,2.2,1.6,0.6
threat_fish2,1.9,2.4,2,2.2,2.3,3.2,1.5,0.4,0.2,2.9,0.4,3.9,0.8,1.1
threat_fish1,2.7,3,3.5,1.4,1.6,0.3,3.2,3.5,2.2,2.2,2.7,3,1.1,3.1
threat_artisanal,2.8,4,0.4,1.1,2.2,1.3,2.2,0.4,0.3,0.1,0.7,1.3,0.6,3.2
threat_sst,1.3,3.3,3.2,3.9,3.3,2.4,1.3,3.7,2.2,2.3,2.1,0.7,1.4,3.6
threat_uv,3.4,3.7,3.9,2.7,2.5,1.6,1.3,1.8,1.8,2.6,1.3,0.9,0.7,2.1
threat_invasives,2.1,2,1.9,0.8,2.6,2.5,0.9,2.3,1.2,2.1,0.8,1,2.5,1.9
threat_pollution,0.1,0.6,0.7,1.8,0.1,2.1,2.8,2.4,0.8,1.1,1.5,1.9,1.4,0.3
threat_shipping,0.9,1.9,1.1,0.3,1.1,1.4,0,0.1,2.4,3.8,2.4,1.4,3.3,2.1
threat_flares,0.3,3.5,2.2,2.2,3.8,3,0.3,1.8,0.1,2,3.4,0.4,2.1,3
threat_acid,2.3,2.2,1.2,0.1,3.1,0.4,2.7,2.6,1.7,1.4,1.3,0.9,2.9,1.4
